código,descriptor_es,descriptor_en
8000/0,"Neoplasia, benigna","Neoplasm, benign"
8000/1,"Neoplasia, benignidad o malignidad incierta","Neoplasm, uncertain whether benign or malignant"
8000/3,"Neoplasia, maligna","Neoplasm, malignant"
8000/31,"Neoplasia, maligna - grado I, bien diferenciado","Neoplasm, malignant - grade I, well differentiated"
8000/32,"Neoplasia, maligna - grado II, moderadamente diferenciado","Neoplasm, malignant - grade II, moderately differentiated"
8000/33,"Neoplasia, maligna - grado III, pobremente diferenciado","Neoplasm, malignant - grade III, poorly differentiated"
8000/34,"Neoplasia, maligna - grado IV, indiferenciado","Neoplasm, malignant - grade IV, undifferentiated"
8000/39,"Neoplasia, maligna - grado o diferenciación sin determinar o sin asignar, o no procede","Neoplasm, malignant - grade or differentiation not determined or not assigned, or not applicable"
8000/6,"Neoplasia, metastásica","Neoplasm, metastatic"
8000/9,"Neoplasia, maligna, sin certeza de si es primaria o metastásica","Neoplasm, malignant, uncertain whether primary or metastatic"
8001/0,"Células tumorales, benignas","Tumor cells, benign"
8001/1,"Células tumorales, sin certeza de si son benignas o malignas","Tumor cells, uncertain whether benign or malignant"
8001/3,"Células tumorales, malignas","Tumor cells, malignant"
8001/31,"Células tumorales, malignas - grado I, bien diferenciado","Tumor cells, malignant - grade I, well differentiated"
8001/32,"Células tumorales, malignas - grado II, moderadamente diferenciado","Tumor cells, malignant - grade II, moderately differentiated"
8001/33,"Células tumorales, malignas - grado III, pobremente diferenciado","Tumor cells, malignant - grade III, poorly differentiated"
8001/34,"Células tumorales, malignas - grado IV, indiferenciado","Tumor cells, malignant - grade IV, undifferentiated"
8001/39,"Células tumorales, malignas - grado o diferenciación sin determinar o sin asignar, o no procede","Tumor cells, malignant - grade or differentiation not determined or not assigned, or not applicable"
8001/6,"Células tumorales, malignas, metástasis","Tumor cells, malignant, metastasis"
8002/3,"Tumor maligno, tipo células pequeñas","Malignant tumor, small cell type"
8002/31,"Tumor maligno, tipo células pequeñas - grado I, bien diferenciado","Malignant tumor, small cell type - grade I, well differentiated"
8002/32,"Tumor maligno, tipo células pequeñas - grado II, moderadamente diferenciado","Malignant tumor, small cell type - grade II, moderately differentiated"
8002/33,"Tumor maligno, tipo células pequeñas - grado III, pobremente diferenciado","Malignant tumor, small cell type - grade III, poorly differentiated"
8002/34,"Tumor maligno, tipo células pequeñas - grado IV, indiferenciado","Malignant tumor, small cell type - grade IV, undifferentiated"
8002/39,"Tumor maligno, tipo células pequeñas - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, small cell type - grade or differentiation not determined or not assigned, or not applicable"
8002/6,"Tumor maligno, tipo células pequeñas, metástasis","Malignant tumor, small cell type, metastasis"
8003/3,"Tumor maligno, tipo células gigantes","Malignant tumor, giant cell type"
8003/31,"Tumor maligno, tipo células gigantes - grado I, bien diferenciado","Malignant tumor, giant cell type - grade I, well differentiated"
8003/32,"Tumor maligno, tipo células gigantes - grado II, moderadamente diferenciado","Malignant tumor, giant cell type - grade II, moderately differentiated"
8003/33,"Tumor maligno, tipo células gigantes - grado III, pobremente diferenciado","Malignant tumor, giant cell type - grade III, poorly differentiated"
8003/34,"Tumor maligno, tipo células gigantes - grado IV, indiferenciado","Malignant tumor, giant cell type - grade IV, undifferentiated"
8003/39,"Tumor maligno, tipo células gigantes - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, giant cell type - grade or differentiation not determined or not assigned, or not applicable"
8003/6,"Tumor maligno, tipo células gigantes, metástasis","Malignant tumor, giant cell type, metastasis"
8004/3,"Tumor maligno, tipo células del huso","Malignant tumor, spindle cell type"
8004/31,"Tumor maligno, tipo células del huso - grado I, bien diferenciado","Malignant tumor, spindle cell type - grade I, well differentiated"
8004/32,"Tumor maligno, tipo células del huso - grado II, moderadamente diferenciado","Malignant tumor, spindle cell type - grade II, moderately differentiated"
8004/33,"Tumor maligno, tipo células del huso - grado III, pobremente diferenciado","Malignant tumor, spindle cell type - grade III, poorly differentiated"
8004/34,"Tumor maligno, tipo células del huso - grado IV, indiferenciado","Malignant tumor, spindle cell type - grade IV, undifferentiated"
8004/39,"Tumor maligno, tipo células del huso - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, spindle cell type - grade or differentiation not determined or not assigned, or not applicable"
8004/6,"Tumor maligno, tipo células del huso, metástasis","Malignant tumor, spindle cell type, metastasis"
8005/0,"Tumor de células claras, NEOM","Clear cell tumor, NOS"
8005/3,"Tumor maligno, tipo células claras","Malignant tumor, clear cell type"
8005/31,"Tumor maligno, tipo células claras - grado I, bien diferenciado","Malignant tumor, clear cell type - grade I, well differentiated"
8005/32,"Tumor maligno, tipo células claras - grado II, moderadamente diferenciado","Malignant tumor, clear cell type - grade II, moderately differentiated"
8005/33,"Tumor maligno, tipo células claras - grado III, pobremente diferenciado","Malignant tumor, clear cell type - grade III, poorly differentiated"
8005/34,"Tumor maligno, tipo células claras - grado IV, indiferenciado","Malignant tumor, clear cell type - grade IV, undifferentiated"
8005/39,"Tumor maligno, tipo células claras - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, clear cell type - grade or differentiation not determined or not assigned, or not applicable"
8005/6,"Tumor maligno, tipo células claras, metástasis","Malignant tumor, clear cell type, metastasis"
8010/0,"Tumor epitelial, benigno","Epithelial tumor, benign"
8010/2,"Carcinoma in situ, NEOM","Carcinoma in situ, NOS"
8010/21,"Carcinoma in situ, NEOM - grado I, bien diferenciado","Carcinoma in situ, NOS - grade I, well differentiated"
8010/22,"Carcinoma in situ, NEOM - grado II, moderadamente diferenciado","Carcinoma in situ, NOS - grade II, moderately differentiated"
8010/23,"Carcinoma in situ, NEOM - grado III, pobremente diferenciado","Carcinoma in situ, NOS - grade III, poorly differentiated"
8010/24,"Carcinoma in situ, NEOM - grado IV, indiferenciado","Carcinoma in situ, NOS - grade IV, undifferentiated"
8010/29,"Carcinoma in situ, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Carcinoma in situ, NOS - grade or differentiation not determined or not assigned, or not applicable"
8010/3,"Carcinoma, NEOM","Carcinoma, NOS"
8010/31,"Carcinoma, NEOM - grado I, bien diferenciado","Carcinoma, NOS - grade I, well differentiated"
8010/32,"Carcinoma, NEOM - grado II, moderadamente diferenciado","Carcinoma, NOS - grade II, moderately differentiated"
8010/33,"Carcinoma, NEOM - grado III, pobremente diferenciado","Carcinoma, NOS - grade III, poorly differentiated"
8010/34,"Carcinoma, NEOM - grado IV, indiferenciado","Carcinoma, NOS - grade IV, undifferentiated"
8010/39,"Carcinoma, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8010/6,"Carcinoma, metastásico, NEOM","Carcinoma, metastatic, NOS"
8010/9,Carcinomatosis,Carcinomatosis
8011/0,"Epitelioma, benigno","Epithelioma, benign"
8011/3,"Epitelioma, maligno","Epithelioma, malignant"
8011/31,"Epitelioma, maligno - grado I, bien diferenciado","Epithelioma, malignant - grade I, well differentiated"
8011/32,"Epitelioma, maligno - grado II, moderadamente diferenciado","Epithelioma, malignant - grade II, moderately differentiated"
8011/33,"Epitelioma, maligno - grado III, pobremente diferenciado","Epithelioma, malignant - grade III, poorly differentiated"
8011/34,"Epitelioma, maligno - grado IV, indiferenciado","Epithelioma, malignant - grade IV, undifferentiated"
8011/39,"Epitelioma, maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Epithelioma, malignant - grade or differentiation not determined or not assigned, or not applicable"
8011/6,"Epitelioma, maligno, metástasis","Epithelioma, malignant, metastasis"
8012/3,"Carcinoma de células grandes, NEOM","Large cell carcinoma, NOS"
8012/31,"Carcinoma de células grandes, NEOM - grado I, bien diferenciado","Large cell carcinoma, NOS - grade I, well differentiated"
8012/32,"Carcinoma de células grandes, NEOM - grado II, moderadamente diferenciado","Large cell carcinoma, NOS - grade II, moderately differentiated"
8012/33,"Carcinoma de células grandes, NEOM - grado III, pobremente diferenciado","Large cell carcinoma, NOS - grade III, poorly differentiated"
8012/34,"Carcinoma de células grandes, NEOM - grado IV, indiferenciado","Large cell carcinoma, NOS - grade IV, undifferentiated"
8012/39,"Carcinoma de células grandes, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Large cell carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8012/6,"Carcinoma de células grandes, NEOM, metástasis","Large cell carcinoma, NOS, metastasis"
8013/3,Carcinoma neuroendocrino de células grandes,Large cell neuroendocrine carcinoma
8013/31,"Carcinoma neuroendocrino de células grandes - grado I, bien diferenciado","Large cell neuroendocrine carcinoma - grade I, well differentiated"
8013/32,"Carcinoma neuroendocrino de células grandes - grado II, moderadamente diferenciado","Large cell neuroendocrine carcinoma - grade II, moderately differentiated"
8013/33,"Carcinoma neuroendocrino de células grandes - grado III, pobremente diferenciado","Large cell neuroendocrine carcinoma - grade III, poorly differentiated"
8013/34,"Carcinoma neuroendocrino de células grandes - grado IV, indiferenciado","Large cell neuroendocrine carcinoma - grade IV, undifferentiated"
8013/39,"Carcinoma neuroendocrino de células grandes - grado o diferenciación sin determinar o sin asignar, o no procede","Large cell neuroendocrine carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8013/6,"Carcinoma neuroendocrino de células grandes, metástasis","Large cell neuroendocrine carcinoma, metastasis"
8014/3,Carcinoma de células grandes con fenotipo rabdoide,Large cell carcinoma with rhabdoid phenotype
8014/31,"Carcinoma de células grandes con fenotipo rabdoide - grado I, bien diferenciado","Large cell carcinoma with rhabdoid phenotype - grade I, well differentiated"
8014/32,"Carcinoma de células grandes con fenotipo rabdoide - grado II, moderadamente diferenciado","Large cell carcinoma with rhabdoid phenotype - grade II, moderately differentiated"
8014/33,"Carcinoma de células grandes con fenotipo rabdoide - grado III, pobremente diferenciado","Large cell carcinoma with rhabdoid phenotype - grade III, poorly differentiated"
8014/34,"Carcinoma de células grandes con fenotipo rabdoide - grado IV, indiferenciado","Large cell carcinoma with rhabdoid phenotype - grade IV, undifferentiated"
8014/39,"Carcinoma de células grandes con fenotipo rabdoide - grado o diferenciación sin determinar o sin asignar, o no procede","Large cell carcinoma with rhabdoid phenotype - grade or differentiation not determined or not assigned, or not applicable"
8014/6,"Carcinoma de células grandes con fenotipo rabdoide, metástasis","Large cell carcinoma with rhabdoid phenotype, metastasis"
8015/3,Carcinoma de células vítreas,Glassy cell carcinoma
8015/31,"Carcinoma de células vítreas - grado I, bien diferenciado","Glassy cell carcinoma - grade I, well differentiated"
8015/32,"Carcinoma de células vítreas - grado II, moderadamente diferenciado","Glassy cell carcinoma - grade II, moderately differentiated"
8015/33,"Carcinoma de células vítreas - grado III, pobremente diferenciado","Glassy cell carcinoma - grade III, poorly differentiated"
8015/34,"Carcinoma de células vítreas - grado IV, indiferenciado","Glassy cell carcinoma - grade IV, undifferentiated"
8015/39,"Carcinoma de células vítreas - grado o diferenciación sin determinar o sin asignar, o no procede","Glassy cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8015/6,"Carcinoma de células vítreas, metástasis","Glassy cell carcinoma, metastasis"
8020/3,"Carcinoma, indiferenciado, NEOM","Carcinoma, undifferentiated, NOS"
8020/34,"Carcinoma, indiferenciado, NEOM - grado IV, indiferenciado","Carcinoma, undifferentiated, NOS - grade IV, undifferentiated"
8020/6,"Carcinoma, indiferenciado, NEOM, metástasis","Carcinoma, undifferentiated, NOS, metastasis"
8021/3,"Carcinoma, anaplásico, NEOM","Carcinoma, anaplastic, NOS"
8021/34,"Carcinoma, anaplásico, NEOM - grado IV, indiferenciado","Carcinoma, anaplastic, NOS - grade IV, undifferentiated"
8021/6,"Carcinoma, anaplásico, NEOM, metástasis","Carcinoma, anaplastic, NOS, metastasis"
8022/3,Carcinoma pleomórfico,Pleomorphic carcinoma
8022/31,"Carcinoma pleomórfico - grado I, bien diferenciado","Pleomorphic carcinoma - grade I, well differentiated"
8022/32,"Carcinoma pleomórfico - grado II, moderadamente diferenciado","Pleomorphic carcinoma - grade II, moderately differentiated"
8022/33,"Carcinoma pleomórfico - grado III, pobremente diferenciado","Pleomorphic carcinoma - grade III, poorly differentiated"
8022/34,"Carcinoma pleomórfico - grado IV, indiferenciado","Pleomorphic carcinoma - grade IV, undifferentiated"
8022/39,"Carcinoma pleomórfico - grado o diferenciación sin determinar o sin asignar, o no procede","Pleomorphic carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8022/6,"Carcinoma pleomórfico, metástasis","Pleomorphic carcinoma, metastasis"
8023/3,Carcinoma asociado a proteína nuclear en testículo (NUT),Nuclear protein in testis (NUT)-associated carcinoma
8023/31,"Carcinoma asociado a proteína nuclear en testículo (NUT) - grado I, bien diferenciado","Nuclear protein in testis (NUT)-associated carcinoma - grade I, well differentiated"
8023/32,"Carcinoma asociado a proteína nuclear en testículo (NUT) - grado II, moderadamente diferenciado","Nuclear protein in testis (NUT)-associated carcinoma - grade II, moderately differentiated"
8023/33,"Carcinoma asociado a proteína nuclear en testículo (NUT) - grado III, pobremente diferenciado","Nuclear protein in testis (NUT)-associated carcinoma - grade III, poorly differentiated"
8023/34,"Carcinoma asociado a proteína nuclear en testículo (NUT) - grado IV, indiferenciado","Nuclear protein in testis (NUT)-associated carcinoma - grade IV, undifferentiated"
8023/39,"Carcinoma asociado a proteína nuclear en testículo (NUT) - grado o diferenciación sin determinar o sin asignar, o no procede","Nuclear protein in testis (NUT)-associated carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8023/6,"Carcinoma asociado a proteína nuclear en testículo (NUT), metástasis","Nuclear protein in testis (NUT)-associated carcinoma, metastasis"
8030/3,Carcinoma de células gigantes y células fusiformes,Giant cell and spindle cell carcinoma
8030/31,"Carcinoma de células gigantes y células fusiformes - grado I, bien diferenciado","Giant cell and spindle cell carcinoma - grade I, well differentiated"
8030/32,"Carcinoma de células gigantes y células fusiformes - grado II, moderadamente diferenciado","Giant cell and spindle cell carcinoma - grade II, moderately differentiated"
8030/33,"Carcinoma de células gigantes y células fusiformes - grado III, pobremente diferenciado","Giant cell and spindle cell carcinoma - grade III, poorly differentiated"
8030/34,"Carcinoma de células gigantes y células fusiformes - grado IV, indiferenciado","Giant cell and spindle cell carcinoma - grade IV, undifferentiated"
8030/39,"Carcinoma de células gigantes y células fusiformes - grado o diferenciación sin determinar o sin asignar, o no procede","Giant cell and spindle cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8030/6,"Carcinoma de células gigantes y células fusiformes, metástasis","Giant cell and spindle cell carcinoma, metastasis"
8031/3,Carcinoma de células gigantes,Giant cell carcinoma
8031/31,"Carcinoma de células gigantes - grado I, bien diferenciado","Giant cell carcinoma - grade I, well differentiated"
8031/32,"Carcinoma de células gigantes - grado II, moderadamente diferenciado","Giant cell carcinoma - grade II, moderately differentiated"
8031/33,"Carcinoma de células gigantes - grado III, pobremente diferenciado","Giant cell carcinoma - grade III, poorly differentiated"
8031/34,"Carcinoma de células gigantes - grado IV, indiferenciado","Giant cell carcinoma - grade IV, undifferentiated"
8031/39,"Carcinoma de células gigantes - grado o diferenciación sin determinar o sin asignar, o no procede","Giant cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8031/6,"Carcinoma de células gigantes, metástasis","Giant cell carcinoma, metastasis"
8032/3,"Carcinoma de células fusiformes, NEOM","Spindle cell carcinoma, NOS"
8032/31,"Carcinoma de células fusiformes, NEOM - grado I, bien diferenciado","Spindle cell carcinoma, NOS - grade I, well differentiated"
8032/32,"Carcinoma de células fusiformes, NEOM - grado II, moderadamente diferenciado","Spindle cell carcinoma, NOS - grade II, moderately differentiated"
8032/33,"Carcinoma de células fusiformes, NEOM - grado III, pobremente diferenciado","Spindle cell carcinoma, NOS - grade III, poorly differentiated"
8032/34,"Carcinoma de células fusiformes, NEOM - grado IV, indiferenciado","Spindle cell carcinoma, NOS - grade IV, undifferentiated"
8032/39,"Carcinoma de células fusiformes, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Spindle cell carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8032/6,"Carcinoma de células fusiformes, NEOM, metástasis","Spindle cell carcinoma, NOS, metastasis"
8033/3,Carcinoma seudosarcomatoso,Pseudosarcomatous carcinoma
8033/31,"Carcinoma seudosarcomatoso - grado I, bien diferenciado","Pseudosarcomatous carcinoma - grade I, well differentiated"
8033/32,"Carcinoma seudosarcomatoso - grado II, moderadamente diferenciado","Pseudosarcomatous carcinoma - grade II, moderately differentiated"
8033/33,"Carcinoma seudosarcomatoso - grado III, pobremente diferenciado","Pseudosarcomatous carcinoma - grade III, poorly differentiated"
8033/34,"Carcinoma seudosarcomatoso - grado IV, indiferenciado","Pseudosarcomatous carcinoma - grade IV, undifferentiated"
8033/39,"Carcinoma seudosarcomatoso - grado o diferenciación sin determinar o sin asignar, o no procede","Pseudosarcomatous carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8033/6,"Carcinoma seudosarcomatoso, metástasis","Pseudosarcomatous carcinoma, metastasis"
8034/3,Carcinoma de células poligonales,Polygonal cell carcinoma
8034/31,"Carcinoma de células poligonales - grado I, bien diferenciado","Polygonal cell carcinoma - grade I, well differentiated"
8034/32,"Carcinoma de células poligonales - grado II, moderadamente diferenciado","Polygonal cell carcinoma - grade II, moderately differentiated"
8034/33,"Carcinoma de células poligonales - grado III, pobremente diferenciado","Polygonal cell carcinoma - grade III, poorly differentiated"
8034/34,"Carcinoma de células poligonales - grado IV, indiferenciado","Polygonal cell carcinoma - grade IV, undifferentiated"
8034/39,"Carcinoma de células poligonales - grado o diferenciación sin determinar o sin asignar, o no procede","Polygonal cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8034/6,"Carcinoma de células poligonales, metástasis","Polygonal cell carcinoma, metastasis"
8035/3,Carcinoma con células gigantes tipo osteoclastos,Carcinoma with osteoclast-like giant cells
8035/31,"Carcinoma con células gigantes tipo osteoclastos - grado I, bien diferenciado","Carcinoma with osteoclast-like giant cells - grade I, well differentiated"
8035/32,"Carcinoma con células gigantes tipo osteoclastos - grado II, moderadamente diferenciado","Carcinoma with osteoclast-like giant cells - grade II, moderately differentiated"
8035/33,"Carcinoma con células gigantes tipo osteoclastos - grado III, pobremente diferenciado","Carcinoma with osteoclast-like giant cells - grade III, poorly differentiated"
8035/34,"Carcinoma con células gigantes tipo osteoclastos - grado IV, indiferenciado","Carcinoma with osteoclast-like giant cells - grade IV, undifferentiated"
8035/39,"Carcinoma con células gigantes tipo osteoclastos - grado o diferenciación sin determinar o sin asignar, o no procede","Carcinoma with osteoclast-like giant cells - grade or differentiation not determined or not assigned, or not applicable"
8035/6,"Carcinoma con células gigantes tipo osteoclastos, metástasis","Carcinoma with osteoclast-like giant cells, metastasis"
8040/0,"Tumorlet, benigno","Tumorlet, benign"
8040/1,"Tumorlet, NEOM","Tumorlet, NOS"
8041/3,"Carcinoma de células pequeñas, NEOM","Small cell carcinoma, NOS"
8041/31,"Carcinoma de células pequeñas, NEOM - grado I, bien diferenciado","Small cell carcinoma, NOS - grade I, well differentiated"
8041/32,"Carcinoma de células pequeñas, NEOM - grado II, moderadamente diferenciado","Small cell carcinoma, NOS - grade II, moderately differentiated"
8041/33,"Carcinoma de células pequeñas, NEOM - grado III, pobremente diferenciado","Small cell carcinoma, NOS - grade III, poorly differentiated"
8041/34,"Carcinoma de células pequeñas, NEOM - grado IV, indiferenciado","Small cell carcinoma, NOS - grade IV, undifferentiated"
8041/39,"Carcinoma de células pequeñas, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Small cell carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8041/6,"Carcinoma de células pequeñas, NEOM, metástasis","Small cell carcinoma, NOS, metastasis"
8042/3,Carcinoma de células de avena,Oat cell carcinoma
8042/31,"Carcinoma de células de avena - grado I, bien diferenciado","Oat cell carcinoma - grade I, well differentiated"
8042/32,"Carcinoma de células de avena - grado II, moderadamente diferenciado","Oat cell carcinoma - grade II, moderately differentiated"
8042/33,"Carcinoma de células de avena - grado III, pobremente diferenciado","Oat cell carcinoma - grade III, poorly differentiated"
8042/34,"Carcinoma de células de avena - grado IV, indiferenciado","Oat cell carcinoma - grade IV, undifferentiated"
8042/39,"Carcinoma de células de avena - grado o diferenciación sin determinar o sin asignar, o no procede","Oat cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8042/6,"Carcinoma de células de avena, metástasis","Oat cell carcinoma, metastasis"
8043/3,"Carcinoma de células pequeñas, células fusiformes","Small cell carcinoma, fusiform cell"
8043/31,"Carcinoma de células pequeñas, células fusiformes - grado I, bien diferenciado","Small cell carcinoma, fusiform cell - grade I, well differentiated"
8043/32,"Carcinoma de células pequeñas, células fusiformes - grado II, moderadamente diferenciado","Small cell carcinoma, fusiform cell - grade II, moderately differentiated"
8043/33,"Carcinoma de células pequeñas, células fusiformes - grado III, pobremente diferenciado","Small cell carcinoma, fusiform cell - grade III, poorly differentiated"
8043/34,"Carcinoma de células pequeñas, células fusiformes - grado IV, indiferenciado","Small cell carcinoma, fusiform cell - grade IV, undifferentiated"
8043/39,"Carcinoma de células pequeñas, células fusiformes - grado o diferenciación sin determinar o sin asignar, o no procede","Small cell carcinoma, fusiform cell - grade or differentiation not determined or not assigned, or not applicable"
8043/6,"Carcinoma de células pequeñas, células fusiformes, metástasis","Small cell carcinoma, fusiform cell, metastasis"
8044/3,"Carcinoma de células pequeñas, células intermedias","Small cell carcinoma, intermediate cell"
8044/31,"Carcinoma de células pequeñas, células intermedias - grado I, bien diferenciado","Small cell carcinoma, intermediate cell - grade I, well differentiated"
8044/32,"Carcinoma de células pequeñas, células intermedias - grado II, moderadamente diferenciado","Small cell carcinoma, intermediate cell - grade II, moderately differentiated"
8044/33,"Carcinoma de células pequeñas, células intermedias - grado III, pobremente diferenciado","Small cell carcinoma, intermediate cell - grade III, poorly differentiated"
8044/34,"Carcinoma de células pequeñas, células intermedias - grado IV, indiferenciado","Small cell carcinoma, intermediate cell - grade IV, undifferentiated"
8044/39,"Carcinoma de células pequeñas, células intermedias - grado o diferenciación sin determinar o sin asignar, o no procede","Small cell carcinoma, intermediate cell - grade or differentiation not determined or not assigned, or not applicable"
8044/6,"Carcinoma de células pequeñas, células intermedias, metástasis","Small cell carcinoma, intermediate cell, metastasis"
8045/3,Carcinoma combinado de células pequeñas,Combined small cell carcinoma
8045/31,"Carcinoma combinado de células pequeñas - grado I, bien diferenciado","Combined small cell carcinoma - grade I, well differentiated"
8045/32,"Carcinoma combinado de células pequeñas - grado II, moderadamente diferenciado","Combined small cell carcinoma - grade II, moderately differentiated"
8045/33,"Carcinoma combinado de células pequeñas - grado III, pobremente diferenciado","Combined small cell carcinoma - grade III, poorly differentiated"
8045/34,"Carcinoma combinado de células pequeñas - grado IV, indiferenciado","Combined small cell carcinoma - grade IV, undifferentiated"
8045/39,"Carcinoma combinado de células pequeñas - grado o diferenciación sin determinar o sin asignar, o no procede","Combined small cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8045/6,"Carcinoma combinado de células pequeñas, metástasis","Combined small cell carcinoma, metastasis"
8046/3,Carcinoma de células no pequeñas,Non-small cell carcinoma
8046/31,"Carcinoma de células no pequeñas - grado I, bien diferenciado","Non-small cell carcinoma - grade I, well differentiated"
8046/32,"Carcinoma de células no pequeñas - grado II, moderadamente diferenciado","Non-small cell carcinoma - grade II, moderately differentiated"
8046/33,"Carcinoma de células no pequeñas - grado III, pobremente diferenciado","Non-small cell carcinoma - grade III, poorly differentiated"
8046/34,"Carcinoma de células no pequeñas - grado IV, indiferenciado","Non-small cell carcinoma - grade IV, undifferentiated"
8046/39,"Carcinoma de células no pequeñas - grado o diferenciación sin determinar o sin asignar, o no procede","Non-small cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8046/6,"Carcinoma de células no pequeñas, metástasis","Non-small cell carcinoma, metastasis"
8050/0,"Papiloma, NEOM","Papilloma, NOS"
8050/2,"Carcinoma papilar in situ, NEOM","Papillary carcinoma in situ, NOS"
8050/21,"Carcinoma papilar in situ, NEOM - grado I, bien diferenciado","Papillary carcinoma in situ, NOS - grade I, well differentiated"
8050/22,"Carcinoma papilar in situ, NEOM - grado II, moderadamente diferenciado","Papillary carcinoma in situ, NOS - grade II, moderately differentiated"
8050/23,"Carcinoma papilar in situ, NEOM - grado III, pobremente diferenciado","Papillary carcinoma in situ, NOS - grade III, poorly differentiated"
8050/24,"Carcinoma papilar in situ, NEOM - grado IV, indiferenciado","Papillary carcinoma in situ, NOS - grade IV, undifferentiated"
8050/29,"Carcinoma papilar in situ, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma in situ, NOS - grade or differentiation not determined or not assigned, or not applicable"
8050/3,"Carcinoma papilar, NEOM","Papillary carcinoma, NOS"
8050/31,"Carcinoma papilar, NEOM - grado I, bien diferenciado","Papillary carcinoma, NOS - grade I, well differentiated"
8050/32,"Carcinoma papilar, NEOM - grado II, moderadamente diferenciado","Papillary carcinoma, NOS - grade II, moderately differentiated"
8050/33,"Carcinoma papilar, NEOM - grado III, pobremente diferenciado","Papillary carcinoma, NOS - grade III, poorly differentiated"
8050/34,"Carcinoma papilar, NEOM - grado IV, indiferenciado","Papillary carcinoma, NOS - grade IV, undifferentiated"
8050/39,"Carcinoma papilar, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8050/6,"Carcinoma papilar, NEOM, metástasis","Papillary carcinoma, NOS, metastasis"
8051/0,Papiloma verrugoso,Verrucous papilloma
8051/3,"Carcinoma verrugoso, NEOM","Verrucous carcinoma, NOS"
8051/31,"Carcinoma verrugoso, NEOM - grado I, bien diferenciado","Verrucous carcinoma, NOS - grade I, well differentiated"
8051/32,"Carcinoma verrugoso, NEOM - grado II, moderadamente diferenciado","Verrucous carcinoma, NOS - grade II, moderately differentiated"
8051/33,"Carcinoma verrugoso, NEOM - grado III, pobremente diferenciado","Verrucous carcinoma, NOS - grade III, poorly differentiated"
8051/34,"Carcinoma verrugoso, NEOM - grado IV, indiferenciado","Verrucous carcinoma, NOS - grade IV, undifferentiated"
8051/39,"Carcinoma verrugoso, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Verrucous carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8051/6,"Carcinoma verrugoso, NEOM, metástasis","Verrucous carcinoma, NOS, metastasis"
8052/0,"Papiloma de células escamosas, NEOM","Squamous cell papilloma, NOS"
8052/2,"Carcinoma papilar de células escamosas, no invasivo","Papillary squamous cell carcinoma, non-invasive"
8052/21,"Carcinoma papilar de células escamosas, no invasivo - grado I, bien diferenciado","Papillary squamous cell carcinoma, non-invasive - grade I, well differentiated"
8052/22,"Carcinoma papilar de células escamosas, no invasivo - grado II, moderadamente diferenciado","Papillary squamous cell carcinoma, non-invasive - grade II, moderately differentiated"
8052/23,"Carcinoma papilar de células escamosas, no invasivo - grado III, pobremente diferenciado","Papillary squamous cell carcinoma, non-invasive - grade III, poorly differentiated"
8052/24,"Carcinoma papilar de células escamosas, no invasivo - grado IV, indiferenciado","Papillary squamous cell carcinoma, non-invasive - grade IV, undifferentiated"
8052/29,"Carcinoma papilar de células escamosas, no invasivo - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary squamous cell carcinoma, non-invasive - grade or differentiation not determined or not assigned, or not applicable"
8052/3,Carcinoma papilar de células escamosas,Papillary squamous cell carcinoma
8052/31,"Carcinoma papilar de células escamosas - grado I, bien diferenciado","Papillary squamous cell carcinoma - grade I, well differentiated"
8052/32,"Carcinoma papilar de células escamosas - grado II, moderadamente diferenciado","Papillary squamous cell carcinoma - grade II, moderately differentiated"
