código,descriptor_es,descriptor_en
9102/31,"Teratoma maligno, trofoblástico - grado I, bien diferenciado","Malignant teratoma, trophoblastic - grade I, well differentiated"
9102/32,"Teratoma maligno, trofoblástico - grado II, moderadamente diferenciado","Malignant teratoma, trophoblastic - grade II, moderately differentiated"
9102/33,"Teratoma maligno, trofoblástico - grado III, pobremente diferenciado","Malignant teratoma, trophoblastic - grade III, poorly differentiated"
9102/34,"Teratoma trofoblástico maligno - grado IV, indiferenciado","Malignant teratoma, trophoblastic - grade IV, undifferentiated"
9102/39,"Teratoma maligno, trofoblástico - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant teratoma, trophoblastic - grade or differentiation not determined or not assigned, or not applicable"
9102/6,"Teratoma maligno, trofoblástico, metástasis","Malignant teratoma, trophoblastic, metastasis"
9103/0,Mola hidatiforme parcial,Partial hydatidiform mole
9104/1,Tumor trofoblástico de localización placentaria,Placental site trophoblastic tumor
9105/3,"Tumor trofoblástico, epitelioide","Trophoblastic tumor, epithelioid"
9105/31,"Tumor trofoblástico, epitelioide - grado I, bien diferenciado","Trophoblastic tumor, epithelioid - grade I, well differentiated"
9105/32,"Tumor trofoblástico, epitelioide - grado II, moderadamente diferenciado","Trophoblastic tumor, epithelioid - grade II, moderately differentiated"
9105/33,"Tumor trofoblástico, epitelioide - grado III, pobremente diferenciado","Trophoblastic tumor, epithelioid - grade III, poorly differentiated"
9105/34,"Tumor trofoblástico, epitelioide - grado IV, indiferenciado","Trophoblastic tumor, epithelioid - grade IV, undifferentiated"
9105/39,"Tumor trofoblástico, epitelioide - grado o diferenciación sin determinar o sin asignar, o no procede","Trophoblastic tumor, epithelioid - grade or differentiation not determined or not assigned, or not applicable"
9105/6,"Tumor trofoblástico, epitelioide, metástasis","Trophoblastic tumor, epithelioid, metastasis"
9110/0,Adenoma de red ovárica,Adenoma of rete ovarii
9110/1,Tumor wolffiano,Wolffian tumor
9110/3,"Mesonefroma, maligno","Mesonephroma, malignant"
9110/31,"Mesonefroma, maligno - grado I, bien diferenciado","Mesonephroma, malignant - grade I, well differentiated"
9110/32,"Mesonefroma, maligno - grado II, moderadamente diferenciado","Mesonephroma, malignant - grade II, moderately differentiated"
9110/33,"Mesonefroma, maligno - grado III, pobremente diferenciado","Mesonephroma, malignant - grade III, poorly differentiated"
9110/34,"Mesonefroma, maligno - grado IV, indiferenciado","Mesonephroma, malignant - grade IV, undifferentiated"
9110/39,"Mesonefroma, maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Mesonephroma, malignant - grade or differentiation not determined or not assigned, or not applicable"
9110/6,"Mesonefroma, maligno, metástasis","Mesonephroma, malignant, metastasis"
9120/0,"Hemangioma, NEOM","Hemangioma, NOS"
9120/3,Hemangiosarcoma,Hemangiosarcoma
9120/31,"Hemangiosarcoma - grado I, bien diferenciado","Hemangiosarcoma - grade I, well differentiated"
